country,Country Code,Series Name,Series Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Greece,GRC,Economic Fitness Metric,EF.EFM.OVRL.XD,0.97817,0.96358,1.1032,1.261,1.1872,1.2401,1.2023,1.3238,1.366,1.3371,1.3389,1.2573,1.3262,1.3135,1.3697,1.3146,1.0556,0.9253,0.94722,0.9587,0.823034272
Greenland,GRL,Economic Fitness Metric,EF.EFM.OVRL.XD,0.0045479,0.0036227,0.0040133,0.0053989,0.01204,0.0095867,0.034915,0.030657,0.023391,0.014129,0.016311,0.028042,0.026678,0.024436,0.016771,0.032621,0.018713,0.0064229,0.0039713,0.0032671,0.001259714
Guatemala,GTM,Economic Fitness Metric,EF.EFM.OVRL.XD,0.4216,0.44384,0.43761,0.43841,0.47399,0.52948,0.53617,0.57134,0.58165,0.60036,0.63735,0.67207,0.62857,0.63297,0.56224,0.57448,0.61313,0.56393,0.54279,0.56964,0.602576861
Guinea,GIN,Economic Fitness Metric,EF.EFM.OVRL.XD,0.0074393,0.012665,0.0038291,0.0010683,0.0017032,0.0057415,0.01682,0.011255,0.00504,0.014293,0.0088137,0.015719,0.007264,0.010515,0.0083908,0.0019098,0.0049787,0.003774,0.0082056,0.001891,0.004246035
Guinea-Bissau,GNB,Economic Fitness Metric,EF.EFM.OVRL.XD,3.16E-15,2.01E-09,1.05E-08,6.44E-06,1.73E-07,1.07E-15,4.55E-18,0.0038167,0.014908,0.0046304,0.0015105,0.0020057,0.00063748,0.0016194,0.0042568,6.16E-05,5.5E-13,3.52E-139,5.1E-128,2.18E-82,1.56E-12
Guyana,GUY,Economic Fitness Metric,EF.EFM.OVRL.XD,0.0049153,0.004672,0.024643,0.032157,0.028564,0.023755,0.066081,0.05391,0.088676,0.04055,0.054602,0.055627,0.065241,0.035113,0.056637,0.041099,0.039188,0.020318,0.012,0.012364,0.017391039
Honduras,HND,Economic Fitness Metric,EF.EFM.OVRL.XD,0.18203,0.22767,0.23441,0.24765,0.22439,0.18984,0.16797,0.23036,0.24528,0.22204,0.20276,0.25623,0.27432,0.25553,0.28482,0.37077,0.23956,0.34654,0.2302,0.37038,0.244691768
Hungary,HUN,Economic Fitness Metric,EF.EFM.OVRL.XD,2.4427,2.4136,1.9736,1.935,1.9001,1.8497,1.8949,1.9543,1.9501,1.8433,1.7095,1.6798,1.6695,1.6577,1.5917,1.7575,1.8502,1.9499,2.0293,2.046,1.792928447
Iceland,ISL,Economic Fitness Metric,EF.EFM.OVRL.XD,0.1385,0.16643,0.18409,0.19753,0.20274,0.21833,0.27027,0.30594,0.25491,0.33957,0.25463,0.27126,0.22701,0.2314,0.25212,0.23335,0.21615,0.18121,0.17132,0.16975,0.132101275
India,IND,Economic Fitness Metric,EF.EFM.OVRL.XD,2.6222,2.676,3.1265,3.1755,3.2775,3.5839,3.8693,3.916,3.7727,4.0137,4.0312,3.7963,3.5818,3.8155,3.9348,3.6693,3.7188,4.0268,4.1436,4.3043,4.395581747
Indonesia,IDN,Economic Fitness Metric,EF.EFM.OVRL.XD,1.0307,1.1111,1.1514,1.3051,1.4004,1.5487,1.5931,1.5922,1.5952,1.6356,1.4912,1.6557,1.5796,1.6062,1.7914,1.4658,1.4986,1.4925,1.6352,1.5812,1.564620518
"Iran, Islamic Rep.",IRN,Economic Fitness Metric,EF.EFM.OVRL.XD,0.018025,0.031895,0.19168,0.19916,0.21968,0.20502,0.27436,0.35456,0.3149,0.32679,0.32856,0.28028,0.092119,0.054566,0.048822,0.32336,0.26875,0.03854,0.078318,0.089325,0.124583627
Iraq,IRQ,Economic Fitness Metric,EF.EFM.OVRL.XD,1.89E-37,0.066219,2.4E-271,5.47E-47,5.7E-45,4.2E-54,4.37E-56,2.22E-23,1.24E-07,7.7E-10,3.16E-28,5.98E-42,2.42E-121,3.3E-58,4.39E-38,0,3.81E-255,0,2.62E-169,3.55E-235,3.89E-20
Ireland,IRL,Economic Fitness Metric,EF.EFM.OVRL.XD,1.6294,1.6307,1.5993,1.2995,1.1876,1.2696,1.0697,0.83622,0.84407,0.97303,0.95396,0.83308,0.89473,0.98016,0.80928,0.74514,0.77226,0.72749,0.84008,0.83291,0.738149739
Israel,ISR,Economic Fitness Metric,EF.EFM.OVRL.XD,2.3245,2.0486,1.9572,1.868,1.9739,1.9315,1.9472,2.0721,2.2658,2.0377,2.1066,2.1253,1.5587,1.6769,1.7597,1.6732,1.666,1.5355,1.5121,1.6025,1.422800663
Italy,ITA,Economic Fitness Metric,EF.EFM.OVRL.XD,6.6157,5.6901,5.9444,5.669,5.5047,5.7489,5.2377,5.4928,5.5517,5.6101,5.7195,5.5888,5.5485,5.4197,5.2073,5.5365,5.8891,5.6536,5.8448,5.8996,5.624840397
Japan,JPN,Economic Fitness Metric,EF.EFM.OVRL.XD,7.2301,7.1785,6.4507,5.918,5.7591,6.0641,5.7466,5.4753,5.4467,5.5149,5.3821,5.4647,5.266,5.331,5.6738,5.5836,5.8059,5.8299,6.0161,6.0531,7.542060502
Jordan,JOR,Economic Fitness Metric,EF.EFM.OVRL.XD,0.37063,0.24852,0.47815,0.43732,0.85871,0.85766,0.68647,0.54744,0.58119,0.73433,0.68636,0.66855,0.66746,0.62591,0.59972,0.70545,0.57217,0.68556,0.62464,0.49347,0.46093408
Kazakhstan,KAZ,Economic Fitness Metric,EF.EFM.OVRL.XD,0.16681,0.64011,0.46736,0.32074,0.25971,0.2536,0.28632,0.22496,0.23467,0.22092,0.21067,0.18204,0.1614,0.13477,0.11553,0.083146,0.11049,0.21947,0.12184,0.17892,0.180210301
Kenya,KEN,Economic Fitness Metric,EF.EFM.OVRL.XD,0.24584,0.2723,0.35672,0.40278,0.37762,0.38733,0.36003,0.45104,0.5467,0.44222,0.57756,0.70006,0.5576,0.50269,0.65036,0.58402,0.40321,0.44937,0.48564,0.39181,0.287748604
"Korea, Dem. Rep.",PRK,Economic Fitness Metric,EF.EFM.OVRL.XD,1.0619,1.3306,0.99077,1.4275,1.4042,1.5543,1.5517,1.437,1.0623,1.1336,1.2238,1.4901,1.3491,1.0349,0.95268,0.78698,0.53289,0.6531,0.46417,0.47192,0.483767571
"Korea, Rep.",KOR,Economic Fitness Metric,EF.EFM.OVRL.XD,2.482,2.8253,2.8115,2.4708,2.4065,2.5668,2.8144,2.7508,2.7473,2.6862,2.6225,2.6156,2.4296,2.5263,2.5671,2.8574,2.8041,3.0321,3.191,3.2959,3.454575373
Kuwait,KWT,Economic Fitness Metric,EF.EFM.OVRL.XD,0.00015943,0.00018362,1.78E-28,0.0073886,0.0034453,0.0051716,0.013386,0.015395,0.019986,0.017123,0.010718,0.016305,0.01493,0.0045644,0.027012,0.0020786,1.07E-14,1.11E-66,0.011491,0.012617,0.045566011
Kyrgyz Republic,KGZ,Economic Fitness Metric,EF.EFM.OVRL.XD,0.18602,0.4374,0.46501,0.30515,0.31312,0.51999,0.37064,0.42431,0.48479,0.37068,0.35686,0.47949,0.32297,0.33149,0.31633,0.25605,0.28318,0.42977,0.33414,0.16173,0.293052262
Lao PDR,LAO,Economic Fitness Metric,EF.EFM.OVRL.XD,0.025415,0.18017,0.1631,0.068377,0.069619,0.050191,0.085808,0.08972,0.12898,0.13827,0.11833,0.12043,0.10776,0.12745,0.11616,0.12446,0.11369,0.11197,0.080305,0.083057,0.084095168
Latvia,LVA,Economic Fitness Metric,EF.EFM.OVRL.XD,0.62726,0.75909,0.81752,0.95381,0.92123,0.77959,0.84411,0.84932,0.9496,1.0166,1.1268,1.2389,1.264,1.2258,1.3482,1.5377,1.5285,1.4044,1.4049,1.604,1.356673227
Lebanon,LBN,Economic Fitness Metric,EF.EFM.OVRL.XD,0.52656,0.53152,1.0196,0.98671,0.99913,1.013,1.0352,0.98277,0.83418,0.95434,1.1796,1.1792,1.193,1.2249,0.91735,0.89908,0.90036,0.9719,1.0795,0.94944,0.825180308
Liberia,LBR,Economic Fitness Metric,EF.EFM.OVRL.XD,0.0053041,2.98E-09,5.1E-21,1.47E-06,0.0032311,0.0029908,0.00087495,0.026631,0.0021081,0.00048931,0.0049589,0.00040724,0.00143,0.0036677,0.0074568,0.0017584,0.027793,0.00090606,0.0033545,9.11E-08,4.01E-06
Libya,LBY,Economic Fitness Metric,EF.EFM.OVRL.XD,0.00047036,4.35E-12,2.18E-28,0.0014972,0.0010693,0.00035726,0.0001492,0.00081718,0.00048464,9.6E-05,1.78E-13,8.1E-19,1.69E-07,1.21E-08,1.52E-06,2.87E-78,1.22E-88,0,9.22E-117,3.71E-52,9.22E-07
Lithuania,LTU,Economic Fitness Metric,EF.EFM.OVRL.XD,0.92988,1.0395,1.104,1.0684,1.0889,0.92116,0.89506,0.89295,0.87511,0.96684,1.1888,1.3945,1.6066,1.298,1.3723,1.3882,1.5144,1.6277,1.7961,2.0425,1.726056722
"Macedonia, FYR",MKD,Economic Fitness Metric,EF.EFM.OVRL.XD,0.96362,0.70719,0.66769,0.5787,0.52707,0.48114,0.52672,0.51109,0.43954,0.4455,0.60259,0.52173,0.50641,0.42541,0.63365,0.60281,0.55298,0.49638,0.50293,0.50029,0.420988273
Madagascar,MDG,Economic Fitness Metric,EF.EFM.OVRL.XD,0.091297,0.11219,0.15909,0.1666,0.20891,0.27727,0.24545,0.30197,0.2231,0.23172,0.31903,0.29028,0.29797,0.29869,0.36182,0.46633,0.39767,0.34843,0.30213,0.24759,0.238751217
Malawi,MWI,Economic Fitness Metric,EF.EFM.OVRL.XD,0.092657,0.083728,0.098994,0.081844,0.068554,0.097179,0.071039,0.060631,0.045688,0.083129,0.086008,0.084008,0.07106,0.089576,0.08348,0.093243,0.08921,0.067498,0.064541,0.10301,0.091519536
Malaysia,MYS,Economic Fitness Metric,EF.EFM.OVRL.XD,1.0528,1.1634,1.1729,1.237,1.1864,1.3703,1.3429,1.3372,1.3279,1.5012,1.4485,1.5008,1.5932,1.9739,1.8031,1.8615,1.9332,1.9909,1.8788,1.822,2.133431966
Mali,MLI,Economic Fitness Metric,EF.EFM.OVRL.XD,0.03445,0.031481,0.02878,0.049021,0.06027,0.12233,0.082449,0.084772,0.031693,0.043072,0.042201,0.052586,0.044973,0.043335,0.15984,0.061337,0.051862,0.046358,0.029512,0.032589,0.011646875
Malta,MLT,Economic Fitness Metric,EF.EFM.OVRL.XD,0.2855,0.52872,0.54066,0.41934,0.45913,0.29052,0.34932,0.50905,0.3623,0.36557,0.40225,0.38493,0.45644,0.28984,0.34616,0.41778,0.37239,0.35774,0.33341,0.37474,0.339074592
Mauritania,MRT,Economic Fitness Metric,EF.EFM.OVRL.XD,0.00030325,0.0015827,0.0024457,0.0051097,0.0069085,0.014042,0.016907,0.026875,0.014881,0.0054435,0.00594,0.0071378,0.0027388,0.0044861,0.0046311,0.0076737,0.0061176,0.010682,0.0012223,0.0048216,0.000578132
Mexico,MEX,Economic Fitness Metric,EF.EFM.OVRL.XD,1.8893,1.6776,1.8383,1.7385,1.7518,1.728,1.8659,1.7315,1.8121,1.7988,1.7643,1.7455,1.6647,1.6114,1.5142,1.6501,1.734,1.7149,1.8679,1.6728,1.536365766
Mongolia,MNG,Economic Fitness Metric,EF.EFM.OVRL.XD,0.020141,0.064401,0.08927,0.10892,0.17105,0.11794,0.10673,0.13778,0.15445,0.13602,0.12646,0.11419,0.073613,0.040691,0.033669,0.042876,0.025252,0.018205,0.03512,0.02376,0.034917365
Montenegro,MNE,Economic Fitness Metric,EF.EFM.OVRL.XD,..,..,..,..,..,..,..,..,..,..,..,0.3,0.24693,0.29097,0.38283,0.42835,0.29632,0.26456,0.33469,0.26633,0.258919562
